EmployeeID,EmployeeName,Date,TimeIn,TimeOut
EMP1017,Priya Johnson,2025-07-02,2025-07-02 09:21:00,
EMP1006,Michael Johnson,2025-06-19,2025-06-19 09:02:00,2025-06-19 16:52:00
EMP1000,John Lee,2025-06-27,2025-06-27 09:30:00,2025-06-27 17:44:00
EMP1010,Sarah Patel,2025-06-27,2025-06-27 09:04:00,
EMP1006,Michael Johnson,2025-07-07,,
EMP1018,Ahmed Brown,2025-07-07,2025-07-07 09:04:00,2025-07-07 16:45:00
EMP1003,Michael Khan,2025-06-18,,
EMP1015,Omar Singh,2025-06-18,,
EMP1017,Priya Johnson,2025-06-30,,
EMP1018,Ahmed Brown,2025-06-26,,
EMP1011,Michael Singh,2025-06-30,,
EMP1016,Fatima Smith,2025-06-27,2025-06-27 09:07:00,2025-06-27 17:22:00
EMP1002,Jessica Singh,2025-07-06,2025-07-06 09:17:00,2025-07-06 16:50:00
EMP1005,Fatima Khan,2025-07-01,2025-07-01 09:14:00,2025-07-01 17:29:00
EMP1017,Priya Johnson,2025-06-28,2025-06-28 09:19:00,2025-06-28 16:58:00
EMP1012,Ali Nguyen,2025-06-18,2025-06-18 09:14:00,2025-06-18 17:08:00
EMP1003,Michael Khan,2025-06-24,2025-06-24 09:06:00,2025-06-24 16:54:00
EMP1016,Fatima Smith,2025-06-19,2025-06-19 09:30:00,2025-06-19 17:38:00
EMP1007,Omar Patel,2025-06-22,2025-06-22 09:15:00,2025-06-22 17:28:00
EMP1000,John Lee,2025-06-25,2025-06-25 09:05:00,2025-06-25 17:00:00
EMP1009,Ali Smith,2025-07-02,2025-07-02 09:09:00,2025-07-02 16:42:00
EMP1007,Omar Patel,2025-06-25,2025-06-25 09:15:00,2025-06-25 16:52:00
EMP1002,Jessica Singh,2025-06-26,2025-06-26 09:07:00,2025-06-26 17:03:00
EMP1009,Ali Smith,2025-07-06,2025-07-06 09:13:00,
EMP1000,John Lee,2025-07-07,2025-07-07 09:23:00,
EMP1008,John Lee,2025-07-07,2025-07-07 09:10:00,2025-07-07 17:11:00
EMP1014,Omar Khan,2025-06-30,2025-06-30 09:15:00,
EMP1012,Ali Nguyen,2025-07-02,2025-07-02 09:20:00,
EMP1011,Michael Singh,2025-07-06,2025-07-06 09:11:00,
EMP1000,John Lee,2025-06-18,2025-06-18 09:24:00,2025-06-18 17:15:00
EMP1016,Fatima Smith,2025-06-21,2025-06-21 09:18:00,2025-06-21 17:39:00
EMP1007,Omar Patel,2025-06-20,2025-06-20 09:03:00,2025-06-20 16:50:00
EMP1008,John Lee,2025-06-26,2025-06-26 09:21:00,2025-06-26 17:20:00
EMP1013,Michael Singh,2025-06-25,2025-06-25 09:11:00,2025-06-25 17:07:00
EMP1015,Omar Singh,2025-06-28,,
EMP1019,John Johnson,2025-07-04,2025-07-04 09:13:00,2025-07-04 16:59:00
EMP1001,Omar Johnson,2025-06-28,2025-06-28 09:23:00,2025-06-28 17:22:00
EMP1003,Michael Khan,2025-07-05,2025-07-05 09:29:00,2025-07-05 17:07:00
EMP1003,Michael Khan,2025-06-23,2025-06-23 09:09:00,
EMP1012,Ali Nguyen,2025-06-25,2025-06-25 09:10:00,2025-06-25 16:47:00
EMP1016,Fatima Smith,2025-06-28,2025-06-28 09:06:00,
EMP1016,Fatima Smith,2025-06-27,2025-06-27 09:14:00,2025-06-27 17:18:00
EMP1018,Ahmed Brown,2025-06-25,,
EMP1019,John Johnson,2025-06-21,,
EMP1009,Ali Smith,2025-06-23,2025-06-23 09:18:00,2025-06-23 17:38:00
EMP1005,Fatima Khan,2025-07-02,2025-07-02 09:04:00,2025-07-02 17:23:00
EMP1011,Michael Singh,2025-06-26,,
EMP1007,Omar Patel,2025-06-29,2025-06-29 09:11:00,2025-06-29 17:35:00
EMP1016,Fatima Smith,2025-07-05,,
EMP1007,Omar Patel,2025-06-23,,
EMP1004,Sarah Patel,2025-06-23,2025-06-23 09:20:00,2025-06-23 17:15:00
EMP1009,Ali Smith,2025-07-07,2025-07-07 09:16:00,2025-07-07 17:35:00
EMP1006,Michael Johnson,2025-06-26,2025-06-26 09:01:00,2025-06-26 17:16:00
EMP1007,Omar Patel,2025-06-29,2025-06-29 09:22:00,2025-06-29 17:52:00
EMP1006,Michael Johnson,2025-06-20,2025-06-20 09:21:00,2025-06-20 16:55:00
EMP1002,Jessica Singh,2025-07-04,,
EMP1012,Ali Nguyen,2025-06-30,2025-06-30 09:26:00,2025-06-30 17:41:00
EMP1005,Fatima Khan,2025-06-28,2025-06-28 09:29:00,2025-06-28 17:52:00
EMP1006,Michael Johnson,2025-06-25,2025-06-25 09:21:00,2025-06-25 17:27:00
EMP1005,Fatima Khan,2025-07-01,,
EMP1011,Michael Singh,2025-06-18,2025-06-18 09:25:00,2025-06-18 17:26:00
EMP1013,Michael Singh,2025-06-22,2025-06-22 09:03:00,2025-06-22 16:38:00
EMP1002,Jessica Singh,2025-06-23,,
EMP1007,Omar Patel,2025-07-06,2025-07-06 09:12:00,
EMP1017,Priya Johnson,2025-06-30,,
EMP1004,Sarah Patel,2025-06-18,2025-06-18 09:21:00,2025-06-18 17:00:00
EMP1006,Michael Johnson,2025-07-06,,
EMP1014,Omar Khan,2025-07-04,2025-07-04 09:17:00,2025-07-04 17:32:00
EMP1001,Omar Johnson,2025-06-18,2025-06-18 09:28:00,2025-06-18 17:41:00
EMP1018,Ahmed Brown,2025-06-24,2025-06-24 09:14:00,2025-06-24 17:42:00
EMP1014,Omar Khan,2025-06-24,2025-06-24 09:22:00,
EMP1007,Omar Patel,2025-06-20,2025-06-20 09:06:00,2025-06-20 17:33:00
EMP1012,Ali Nguyen,2025-06-26,2025-06-26 09:04:00,
EMP1016,Fatima Smith,2025-06-25,2025-06-25 09:27:00,2025-06-25 17:00:00
EMP1017,Priya Johnson,2025-06-22,2025-06-22 09:26:00,2025-06-22 17:21:00
EMP1010,Sarah Patel,2025-07-04,,
EMP1012,Ali Nguyen,2025-07-05,2025-07-05 09:09:00,
EMP1001,Omar Johnson,2025-07-07,2025-07-07 09:27:00,
EMP1005,Fatima Khan,2025-07-07,,
EMP1003,Michael Khan,2025-07-05,,
